price	time	month	day	year
149.3999939	1	01	02	13
146.5	2	01	03	13
147.3499908	3	01	04	13
150.3999939	4	01	07	13
148.1499939	5	01	08	13
147.8999939	6	01	09	13
149.6499939	7	01	10	13
153.3499908	8	01	11	13
153.3000031	9	01	14	13
152.5	10	01	15	13
153	11	01	16	13
155.5	12	01	17	13
156.3000031	13	01	18	13
148.5999908	14	01	22	13
150.3999939	15	01	23	13
146.5500031	16	01	24	13
148.3000031	17	01	25	13
149	18	01	28	13
149.8000031	19	01	29	13
147.6999969	20	01	30	13
146.9499969	21	01	31	13
147.9499969	22	02	01	13
144.3499908	23	02	04	13
144.0500031	24	02	05	13
142.0999908	25	02	06	13
140.3000031	26	02	07	13
141.0500031	27	02	08	13
140.1499939	28	02	11	13
140.6499939	29	02	12	13
138.75	30	02	13	13
138	31	02	14	13
136.9499969	32	02	15	13
136.5	33	02	19	13
141	34	02	20	13
141.75	35	02	21	13
143.0999908	36	02	22	13
142.5999908	37	02	25	13
142.8999939	38	02	26	13
142.3999939	39	02	27	13
142.6499939	40	02	28	13
142.8999939	41	03	01	13
145.9499969	42	03	04	13
140.5	43	03	05	13
140.5999908	44	03	06	13
142.4499969	45	03	07	13
143.3499908	46	03	08	13
143.0500031	47	03	11	13
141.6499939	48	03	12	13
140.0500031	49	03	13	13
138.8999939	50	03	14	13
136.5	51	03	15	13
133.1499939	52	03	18	13
133.0999908	53	03	19	13
133.5999908	54	03	20	13
133.75	55	03	21	13
135.3000031	56	03	22	13
135.5999908	57	03	25	13
137.5999908	58	03	26	13
136.5999908	59	03	27	13
137.1499939	60	03	28	13
138.3999939	61	04	01	13
136.1499939	62	04	02	13
139.4499969	63	04	03	13
139.5	64	04	04	13
140.1499939	65	04	05	13
135.8999939	66	04	08	13
135.3999939	67	04	09	13
136.0500031	68	04	10	13
136.8000031	69	04	11	13
135.25	70	04	12	13
134.4499969	71	04	15	13
135.8499908	72	04	16	13
136.0999908	73	04	17	13
